"(121,)","(112,)","(72,)","(70,)","(-15,)","(14,)","(32,)","(-33,)","(-23.72,)","(-20.34,)","(-22.51,)","(-59.91,)","(121,)","(112,)","(72,)","(70,)","(119,)","(119,)","(66,)","(64,)"
"(119,)","(121,)","(100,)","(63,)","(-15,)","(14,)","(33,)","(-34,)","(-2.16,)","(8.22,)","(27.27,)","(-6.68,)","(119,)","(121,)","('null',)","(63,)","(118,)","(120,)","(68,)","(65,)"
"(121,)","(123,)","(62,)","(59,)","(-15,)","(14,)","(30,)","(-31,)","(2.16,)","(2.24,)","(-37.5,)","(-4.23,)","(121,)","(123,)","(62,)","(59,)","(119,)","(119,)","(66,)","(64,)"
"(124,)","(121,)","(65,)","(62,)","(-15,)","(14,)","(28,)","(-29,)","(2.82,)","(-2.24,)","(2.54,)","(2.76,)","(124,)","(121,)","(65,)","(62,)","(120,)","(119,)","(66,)","(63,)"
"(119,)","(126,)","(66,)","(64,)","(-15,)","(14,)","(29,)","(-30,)","(-4.98,)","(5.77,)","(1.63,)","(2.5,)","(119,)","(126,)","(66,)","(64,)","(120,)","(120,)","(66,)","(63,)"
"(126,)","(119,)","(66,)","(66,)","(-15,)","(14,)","(30,)","(-31,)","(7.94,)","(-7.94,)","(0.0,)","(2.15,)","(126,)","(119,)","(66,)","(66,)","(121,)","(120,)","(66,)","(64,)"
"(125,)","(118,)","(66,)","(65,)","(-15,)","(14,)","(30,)","(-31,)","(-1.2,)","(-0.53,)","(0.0,)","(-1.09,)","(125,)","(118,)","(66,)","(65,)","(122,)","(121,)","(65,)","(63,)"
"(123,)","(123,)","(66,)","(65,)","(-15,)","(14,)","(30,)","(-31,)","(-2.33,)","(4.94,)","(0.0,)","(-0.53,)","(123,)","(123,)","(66,)","(65,)","(123,)","(121,)","(65,)","(63,)"
"(121,)","(123,)","(66,)","(66,)","(-15,)","(14,)","(30,)","(-31,)","(-2.24,)","(0.0,)","(0.0,)","(1.63,)","(121,)","(123,)","(66,)","(66,)","(123,)","(121,)","(65,)","(64,)"
"(123,)","(121,)","(67,)","(65,)","(-15,)","(14,)","(30,)","(-31,)","(2.24,)","(-2.24,)","(1.13,)","(-1.63,)","(123,)","(121,)","(67,)","(65,)","(122,)","(121,)","(66,)","(65,)"
