"('rawRPM0',)","('rawRPM1',)","('rawRPM2',)","('rawRPM3',)","('rawAngle0',)","('rawAngle1',)","('rawAngle2',)","('rawAngle3',)","('desiredRPM0',)","('desireRPM1',)","('desiredRPM2',)","('desiredRPM3',)","('desiredAngle0',)","('desiredAngle1',)","('desiredAngle2',)","('desiredAngle3',)","('deltaAngle0',)","('deltaAngle1',)","('deltaAngle2',)","('deltaAngle3',)","('deltaRPM0',)","('deltaRPM1',)","('deltaRPM2',)","('deltaRPM3',)","('HighDeltaFilterRPM0',)","('HighDeltaFilterRPM1',)","('HighDeltaFilterRPM2',)","('HighDeltaFilterRPM3',)","('boxFilterRPM0',)","('boxFilterRPM1',)","('boxFilterRPM2',)","('boxFilterRPM3',)","('TeensyTimeMicroSeconds',)"
"(97,)","(97,)","(95,)","(95,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.59,)","(2.32,)","(-1.73,)","(0.0,)","(97,)","(97,)","(95,)","(95,)","(95,)","(95,)","(94,)","(94,)","(60231,)"
"(95,)","(95,)","(93,)","(95,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-2.32,)","(-2.32,)","(-1.67,)","(0.0,)","(95,)","(95,)","(93,)","(95,)","(95,)","(95,)","(94,)","(94,)","(60282,)"
"(100,)","(96,)","(96,)","(95,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(5.39,)","(1.73,)","(3.4,)","(0.0,)","(100,)","(96,)","(96,)","(95,)","(96,)","(95,)","(95,)","(94,)","(60333,)"
"(98,)","(96,)","(95,)","(93,)","(0,)","(0,)","(0,)","(0,)","(116,)","(116,)","(148,)","(148,)","(7,)","(-7,)","(-6,)","(6,)","(0,)","(0,)","(0,)","(0,)","(-1.86,)","(0.0,)","(-1.73,)","(-1.67,)","(98,)","(96,)","(95,)","(93,)","(97,)","(95,)","(95,)","(94,)","(60384,)"
"(136,)","(137,)","(93,)","(124,)","(4,)","(-4,)","(-3,)","(3,)","(116,)","(116,)","(148,)","(148,)","(7,)","(-7,)","(-6,)","(6,)","(4,)","(4,)","(3,)","(3,)","(37.99,)","(40.96,)","(-1.67,)","(30.46,)","('null',)","('null',)","(93,)","('null',)","(97,)","(95,)","(94,)","(94,)","(60435,)"
"(90,)","(95,)","(95,)","(95,)","(9,)","(-9,)","(-8,)","(7,)","(116,)","(116,)","(148,)","(148,)","(7,)","(-7,)","(-6,)","(6,)","(4,)","(4,)","(4,)","(3,)","(-45.84,)","(-42.69,)","(1.67,)","(-28.79,)","(90,)","(95,)","(95,)","(95,)","(96,)","(95,)","(94,)","(94,)","(60486,)"
"(111,)","(86,)","(102,)","(104,)","(8,)","(-9,)","(-8,)","(7,)","(116,)","(116,)","(148,)","(148,)","(7,)","(-7,)","(-6,)","(6,)","(0,)","(0,)","(0,)","(0,)","(20.2,)","(-8.28,)","(7.33,)","(9.34,)","('null',)","(86,)","(102,)","(104,)","(95,)","(93,)","(95,)","(96,)","(60537,)"
"(86,)","(80,)","(113,)","(111,)","(6,)","(-6,)","(-6,)","(5,)","(116,)","(116,)","(148,)","(148,)","(7,)","(-7,)","(-6,)","(6,)","(-1,)","(-2,)","(-2,)","(-1,)","(-24.15,)","(-6.96,)","(10.91,)","(6.54,)","(86,)","(80,)","(113,)","(111,)","(93,)","(90,)","(99,)","(99,)","(60588,)"
"(83,)","(87,)","(106,)","(106,)","(6,)","(-5,)","(-5,)","(5,)","(116,)","(116,)","(148,)","(148,)","(7,)","(-7,)","(-6,)","(6,)","(0,)","(0,)","(0,)","(0,)","(-3.62,)","(7.43,)","(-6.81,)","(-4.44,)","(83,)","(87,)","(106,)","(106,)","(89,)","(88,)","(100,)","(101,)","(60639,)"
"(85,)","(88,)","(106,)","(106,)","(6,)","(-6,)","(-5,)","(5,)","(116,)","(116,)","(148,)","(148,)","(7,)","(-7,)","(-6,)","(6,)","(0,)","(0,)","(0,)","(0,)","(1.77,)","(1.46,)","(0.0,)","(0.0,)","(85,)","(88,)","(106,)","(106,)","(86,)","(87,)","(102,)","(104,)","(60690,)"
